pdb,kind,sample_idx,len,perplexity,z_natural,is_high,complexity_mean,low_complexity_frac,distinct_3mer_frac,repetitiveness,ppl_runtime_s,commec_status,verdict,flags,mpnn_score,temperature,total_runtime_s,explanation
1UBQ,repeat_motif,-1,76,1.01,-1.18,False,0.721,0.0,0.081,0.838,3.16,clear,BLOCK,low_complexity_extreme,,,5.35,"PPL=1.01 (z=-1.18, within natural range); repetitiveness=0.84 (entropy-lc-frac=0.00, distinct-3mer=0.08); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
2LYZ,native,-1,129,2.8,-0.61,False,0.849,0.0,1.0,0.0,9.37,clear,PASS,,,,11.58,"PPL=2.80 (z=-0.61, within natural range); complexity ok (mean entropy 0.85, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=0.1,1,129,3.96,-0.23,False,0.829,0.0,1.0,0.0,9.26,clear,PASS,,0.7816,0.1,11.66,"PPL=3.96 (z=-0.23, within natural range); complexity ok (mean entropy 0.83, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=0.1,2,129,4.44,-0.08,False,0.83,0.0,0.976,0.0,9.26,clear,PASS,,0.7767,0.1,11.44,"PPL=4.44 (z=-0.08, within natural range); complexity ok (mean entropy 0.83, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=0.1,3,129,4.24,-0.14,False,0.849,0.0,1.0,0.0,9.26,clear,PASS,,0.7698,0.1,11.45,"PPL=4.24 (z=-0.14, within natural range); complexity ok (mean entropy 0.85, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=0.1,4,129,3.97,-0.23,False,0.846,0.0,0.984,0.0,9.26,clear,PASS,,0.7691,0.1,11.68,"PPL=3.97 (z=-0.23, within natural range); complexity ok (mean entropy 0.85, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=1.0,1,129,7.58,0.94,False,0.84,0.0,0.969,0.0,9.25,clear,PASS,,1.6163,1.0,11.44,"PPL=7.58 (z=+0.94, within natural range); complexity ok (mean entropy 0.84, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=1.0,2,129,8.9,1.36,False,0.806,0.0,0.992,0.0,9.25,clear,PASS,,1.7184,1.0,11.48,"PPL=8.90 (z=+1.36, within natural range); complexity ok (mean entropy 0.81, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=1.0,3,129,10.26,1.8,False,0.823,0.0,1.0,0.0,9.26,clear,REVIEW,perplexity_high,1.783,1.0,11.49,"PPL=10.26 (z=+1.80, p95=12.39); complexity ok (mean entropy 0.82, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mpnn_T=1.0,4,129,10.17,1.78,False,0.855,0.0,0.992,0.0,9.26,clear,REVIEW,perplexity_high,1.9121,1.0,11.49,"PPL=10.17 (z=+1.78, p95=12.39); complexity ok (mean entropy 0.86, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,mutated_40pct,-1,129,16.24,3.73,True,0.856,0.0,0.976,0.0,9.26,clear,BLOCK,perplexity_extreme,,,11.5,"PPL=16.24 (z=+3.73, ≥3σ from natural); complexity ok (mean entropy 0.86, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,shuffled,-1,129,20.56,5.13,True,0.84,0.0,0.992,0.0,9.26,clear,BLOCK,perplexity_extreme,,,11.45,"PPL=20.56 (z=+5.13, ≥3σ from natural); complexity ok (mean entropy 0.84, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
2LYZ,repeat_motif,-1,129,1.0,-1.19,False,0.768,0.0,0.055,0.89,9.26,clear,BLOCK,low_complexity_extreme,,,11.51,"PPL=1.00 (z=-1.19, within natural range); repetitiveness=0.89 (entropy-lc-frac=0.00, distinct-3mer=0.06); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
1MBO,native,-1,153,3.06,-0.52,False,0.817,0.0,0.98,0.0,13.44,clear,PASS,,,,15.66,"PPL=3.06 (z=-0.52, within natural range); complexity ok (mean entropy 0.82, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mpnn_T=0.1,1,153,4.84,0.05,False,0.772,0.0,0.96,0.0,13.37,clear,PASS,,0.8852,0.1,15.59,"PPL=4.84 (z=+0.05, within natural range); complexity ok (mean entropy 0.77, distinct-3mer=0.96, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mpnn_T=0.1,2,153,4.85,0.06,False,0.744,0.014,0.914,0.014,13.38,clear,PASS,,0.8917,0.1,15.57,"PPL=4.85 (z=+0.06, within natural range); complexity ok (mean entropy 0.74, distinct-3mer=0.91, repetitiveness=0.01); commec: no regulated-pathogen homology"
1MBO,mpnn_T=0.1,3,153,5.04,0.12,False,0.807,0.0,0.94,0.0,13.37,clear,PASS,,0.935,0.1,15.59,"PPL=5.04 (z=+0.12, within natural range); complexity ok (mean entropy 0.81, distinct-3mer=0.94, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mpnn_T=0.1,4,153,4.45,-0.07,False,0.803,0.0,0.954,0.0,13.37,clear,PASS,,0.8717,0.1,15.65,"PPL=4.45 (z=-0.07, within natural range); complexity ok (mean entropy 0.80, distinct-3mer=0.95, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mpnn_T=1.0,1,153,9.12,1.44,False,0.839,0.0,0.993,0.0,13.36,clear,PASS,,1.8206,1.0,15.6,"PPL=9.12 (z=+1.44, within natural range); complexity ok (mean entropy 0.84, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mpnn_T=1.0,2,153,11.51,2.21,False,0.85,0.0,0.974,0.0,13.37,clear,REVIEW,perplexity_high,2.0244,1.0,15.57,"PPL=11.51 (z=+2.21, p95=12.39); complexity ok (mean entropy 0.85, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mpnn_T=1.0,3,153,9.05,1.41,False,0.79,0.0,0.993,0.0,13.36,clear,PASS,,1.7012,1.0,15.62,"PPL=9.05 (z=+1.41, within natural range); complexity ok (mean entropy 0.79, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mpnn_T=1.0,4,153,14.3,3.11,True,0.848,0.0,1.0,0.0,13.37,clear,BLOCK,perplexity_extreme,2.133,1.0,15.58,"PPL=14.30 (z=+3.11, ≥3σ from natural); complexity ok (mean entropy 0.85, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,mutated_40pct,-1,153,20.72,5.18,True,0.847,0.0,0.993,0.0,13.35,clear,BLOCK,perplexity_extreme,,,15.55,"PPL=20.72 (z=+5.18, ≥3σ from natural); complexity ok (mean entropy 0.85, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,shuffled,-1,153,18.88,4.59,True,0.82,0.0,0.967,0.0,13.37,clear,BLOCK,perplexity_extreme,,,15.59,"PPL=18.88 (z=+4.59, ≥3σ from natural); complexity ok (mean entropy 0.82, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1MBO,repeat_motif,-1,153,1.0,-1.19,False,0.691,0.0,0.046,0.907,13.37,clear,BLOCK,low_complexity_extreme,,,15.62,"PPL=1.00 (z=-1.19, within natural range); repetitiveness=0.91 (entropy-lc-frac=0.00, distinct-3mer=0.05); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
1ENH,native,-1,54,3.93,-0.24,False,0.79,0.0,0.981,0.0,1.66,clear,PASS,,,,3.84,"PPL=3.93 (z=-0.24, within natural range); complexity ok (mean entropy 0.79, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=0.1,1,54,5.49,0.26,False,0.787,0.0,0.981,0.0,1.61,clear,PASS,,0.9784,0.1,3.79,"PPL=5.49 (z=+0.26, within natural range); complexity ok (mean entropy 0.79, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=0.1,2,54,6.42,0.56,False,0.796,0.0,0.962,0.0,1.61,clear,PASS,,1.091,0.1,3.79,"PPL=6.42 (z=+0.56, within natural range); complexity ok (mean entropy 0.80, distinct-3mer=0.96, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=0.1,3,54,4.97,0.1,False,0.8,0.0,0.981,0.0,1.6,clear,PASS,,0.9994,0.1,3.81,"PPL=4.97 (z=+0.10, within natural range); complexity ok (mean entropy 0.80, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=0.1,4,54,5.55,0.28,False,0.766,0.0,0.923,0.0,1.6,clear,PASS,,1.1026,0.1,3.82,"PPL=5.55 (z=+0.28, within natural range); complexity ok (mean entropy 0.77, distinct-3mer=0.92, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=1.0,1,54,12.32,2.47,False,0.849,0.0,1.0,0.0,1.6,clear,REVIEW,perplexity_high,2.0044,1.0,3.79,"PPL=12.32 (z=+2.47, p95=12.39); complexity ok (mean entropy 0.85, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=1.0,2,54,12.35,2.48,False,0.868,0.0,1.0,0.0,1.6,clear,REVIEW,perplexity_high,1.9353,1.0,3.81,"PPL=12.35 (z=+2.48, p95=12.39); complexity ok (mean entropy 0.87, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=1.0,3,54,12.78,2.62,True,0.84,0.0,1.0,0.0,1.6,clear,REVIEW,perplexity_high,2.266,1.0,3.83,"PPL=12.78 (z=+2.62, p95=12.39); complexity ok (mean entropy 0.84, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mpnn_T=1.0,4,54,9.51,1.56,False,0.822,0.0,1.0,0.0,1.61,clear,REVIEW,perplexity_high,1.9639,1.0,3.81,"PPL=9.51 (z=+1.56, p95=12.39); complexity ok (mean entropy 0.82, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,mutated_40pct,-1,54,11.67,2.26,False,0.787,0.0,1.0,0.0,1.6,clear,REVIEW,perplexity_high,,,3.79,"PPL=11.67 (z=+2.26, p95=12.39); complexity ok (mean entropy 0.79, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,shuffled,-1,54,16.79,3.91,True,0.809,0.0,0.981,0.0,1.6,clear,BLOCK,perplexity_extreme,,,3.77,"PPL=16.79 (z=+3.91, ≥3σ from natural); complexity ok (mean entropy 0.81, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1ENH,repeat_motif,-1,54,1.01,-1.18,False,0.529,0.209,0.096,0.808,1.61,clear,BLOCK,low_complexity_extreme,,,3.8,"PPL=1.01 (z=-1.18, within natural range); repetitiveness=0.81 (entropy-lc-frac=0.21, distinct-3mer=0.10); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
1PGA,native,-1,56,6.4,0.56,False,0.772,0.0,1.0,0.0,1.8,clear,PASS,,,,4.03,"PPL=6.40 (z=+0.56, within natural range); complexity ok (mean entropy 0.77, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mpnn_T=0.1,1,56,7.07,0.77,False,0.772,0.0,0.981,0.0,1.75,clear,PASS,,0.8307,0.1,3.95,"PPL=7.07 (z=+0.77, within natural range); complexity ok (mean entropy 0.77, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mpnn_T=0.1,2,56,5.94,0.41,False,0.691,0.133,0.944,0.133,1.76,clear,PASS,,0.7941,0.1,3.95,"PPL=5.94 (z=+0.41, within natural range); complexity ok (mean entropy 0.69, distinct-3mer=0.94, repetitiveness=0.13); commec: no regulated-pathogen homology"
1PGA,mpnn_T=0.1,3,56,6.47,0.58,False,0.748,0.0,0.963,0.0,1.76,clear,PASS,,0.8291,0.1,3.95,"PPL=6.47 (z=+0.58, within natural range); complexity ok (mean entropy 0.75, distinct-3mer=0.96, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mpnn_T=0.1,4,56,5.64,0.31,False,0.706,0.0,0.944,0.0,1.76,clear,PASS,,0.8754,0.1,3.96,"PPL=5.64 (z=+0.31, within natural range); complexity ok (mean entropy 0.71, distinct-3mer=0.94, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mpnn_T=1.0,1,56,10.81,1.98,False,0.815,0.0,0.981,0.0,1.76,clear,REVIEW,perplexity_high,1.7663,1.0,3.94,"PPL=10.81 (z=+1.98, p95=12.39); complexity ok (mean entropy 0.82, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mpnn_T=1.0,2,56,12.05,2.38,False,0.791,0.0,1.0,0.0,1.75,clear,REVIEW,perplexity_high,1.6018,1.0,3.94,"PPL=12.05 (z=+2.38, p95=12.39); complexity ok (mean entropy 0.79, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mpnn_T=1.0,3,56,14.05,3.03,True,0.842,0.0,1.0,0.0,1.76,clear,BLOCK,perplexity_extreme,1.8959,1.0,13.82,"PPL=14.05 (z=+3.03, ≥3σ from natural); complexity ok (mean entropy 0.84, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mpnn_T=1.0,4,56,10.03,1.73,False,0.803,0.0,0.963,0.0,1.75,clear,REVIEW,perplexity_high,1.5854,1.0,23.55,"PPL=10.03 (z=+1.73, p95=12.39); complexity ok (mean entropy 0.80, distinct-3mer=0.96, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,mutated_40pct,-1,56,18.76,4.55,True,0.875,0.0,1.0,0.0,1.76,clear,BLOCK,perplexity_extreme,,,3.97,"PPL=18.76 (z=+4.55, ≥3σ from natural); complexity ok (mean entropy 0.88, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,shuffled,-1,56,16.36,3.77,True,0.812,0.0,0.981,0.0,1.76,clear,BLOCK,perplexity_extreme,,,3.95,"PPL=16.36 (z=+3.77, ≥3σ from natural); complexity ok (mean entropy 0.81, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1PGA,repeat_motif,-1,56,1.04,-1.17,False,0.558,0.0,0.074,0.852,1.76,clear,BLOCK,low_complexity_extreme,,,3.94,"PPL=1.04 (z=-1.17, within natural range); repetitiveness=0.85 (entropy-lc-frac=0.00, distinct-3mer=0.07); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
1UZC,native,-1,69,2.47,-0.71,False,0.821,0.0,0.97,0.0,2.65,clear,PASS,,,,4.85,"PPL=2.47 (z=-0.71, within natural range); complexity ok (mean entropy 0.82, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=0.1,1,69,9.94,1.7,False,0.78,0.0,1.0,0.0,2.6,clear,REVIEW,perplexity_high,1.1094,0.1,4.86,"PPL=9.94 (z=+1.70, p95=12.39); complexity ok (mean entropy 0.78, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=0.1,2,69,8.72,1.31,False,0.739,0.0,0.94,0.0,2.59,clear,PASS,,1.0181,0.1,4.8,"PPL=8.72 (z=+1.31, within natural range); complexity ok (mean entropy 0.74, distinct-3mer=0.94, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=0.1,3,69,7.99,1.07,False,0.747,0.0,0.955,0.0,2.59,clear,PASS,,1.0276,0.1,4.8,"PPL=7.99 (z=+1.07, within natural range); complexity ok (mean entropy 0.75, distinct-3mer=0.96, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=0.1,4,69,8.45,1.22,False,0.72,0.0,0.97,0.0,2.59,clear,PASS,,0.9917,0.1,4.79,"PPL=8.45 (z=+1.22, within natural range); complexity ok (mean entropy 0.72, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=1.0,1,69,17.53,4.15,True,0.836,0.0,1.0,0.0,2.6,clear,BLOCK,perplexity_extreme,2.2147,1.0,4.82,"PPL=17.53 (z=+4.15, ≥3σ from natural); complexity ok (mean entropy 0.84, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=1.0,2,69,18.85,4.57,True,0.878,0.0,1.0,0.0,2.6,clear,BLOCK,perplexity_extreme,1.8962,1.0,4.99,"PPL=18.85 (z=+4.57, ≥3σ from natural); complexity ok (mean entropy 0.88, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=1.0,3,69,17.94,4.28,True,0.816,0.0,0.97,0.0,2.6,clear,BLOCK,perplexity_extreme,1.9955,1.0,4.99,"PPL=17.94 (z=+4.28, ≥3σ from natural); complexity ok (mean entropy 0.82, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mpnn_T=1.0,4,69,18.66,4.51,True,0.867,0.0,0.985,0.0,2.61,clear,BLOCK,perplexity_extreme,2.0976,1.0,4.78,"PPL=18.66 (z=+4.51, ≥3σ from natural); complexity ok (mean entropy 0.87, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,mutated_40pct,-1,69,21.01,5.27,True,0.889,0.0,1.0,0.0,2.58,clear,BLOCK,perplexity_extreme,,,4.8,"PPL=21.01 (z=+5.27, ≥3σ from natural); complexity ok (mean entropy 0.89, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,shuffled,-1,69,19.35,4.74,True,0.828,0.0,0.97,0.0,2.59,clear,BLOCK,perplexity_extreme,,,5.03,"PPL=19.35 (z=+4.74, ≥3σ from natural); complexity ok (mean entropy 0.83, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1UZC,repeat_motif,-1,69,1.01,-1.18,False,0.531,0.0,0.075,0.851,2.59,clear,BLOCK,low_complexity_extreme,,,4.78,"PPL=1.01 (z=-1.18, within natural range); repetitiveness=0.85 (entropy-lc-frac=0.00, distinct-3mer=0.07); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
2IGD,native,-1,61,7.75,0.99,False,0.776,0.0,1.0,0.0,2.09,clear,PASS,,,,4.29,"PPL=7.75 (z=+0.99, within natural range); complexity ok (mean entropy 0.78, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=0.1,1,61,4.94,0.09,False,0.734,0.0,0.949,0.0,2.03,clear,PASS,,0.7793,0.1,4.24,"PPL=4.94 (z=+0.09, within natural range); complexity ok (mean entropy 0.73, distinct-3mer=0.95, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=0.1,2,61,6.41,0.56,False,0.732,0.0,0.966,0.0,2.03,clear,PASS,,0.8303,0.1,4.22,"PPL=6.41 (z=+0.56, within natural range); complexity ok (mean entropy 0.73, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=0.1,3,61,6.48,0.58,False,0.73,0.0,0.915,0.0,2.03,clear,PASS,,0.8233,0.1,4.24,"PPL=6.48 (z=+0.58, within natural range); complexity ok (mean entropy 0.73, distinct-3mer=0.92, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=0.1,4,61,5.79,0.36,False,0.757,0.0,0.966,0.0,2.03,clear,PASS,,0.897,0.1,4.27,"PPL=5.79 (z=+0.36, within natural range); complexity ok (mean entropy 0.76, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=1.0,1,61,13.91,2.98,True,0.851,0.0,1.0,0.0,2.02,clear,REVIEW,perplexity_high,1.86,1.0,4.22,"PPL=13.91 (z=+2.98, p95=12.39); complexity ok (mean entropy 0.85, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=1.0,2,61,11.67,2.26,False,0.808,0.0,0.983,0.0,2.03,clear,REVIEW,perplexity_high,1.7579,1.0,4.22,"PPL=11.67 (z=+2.26, p95=12.39); complexity ok (mean entropy 0.81, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=1.0,3,61,11.18,2.1,False,0.835,0.0,1.0,0.0,2.02,clear,REVIEW,perplexity_high,1.7011,1.0,4.22,"PPL=11.18 (z=+2.10, p95=12.39); complexity ok (mean entropy 0.83, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mpnn_T=1.0,4,61,13.83,2.96,True,0.877,0.0,1.0,0.0,2.03,clear,REVIEW,perplexity_high,1.845,1.0,4.25,"PPL=13.83 (z=+2.96, p95=12.39); complexity ok (mean entropy 0.88, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,mutated_40pct,-1,61,14.2,3.08,True,0.837,0.0,1.0,0.0,2.03,clear,BLOCK,perplexity_extreme,,,4.21,"PPL=14.20 (z=+3.08, ≥3σ from natural); complexity ok (mean entropy 0.84, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,shuffled,-1,61,17.46,4.13,True,0.742,0.0,0.983,0.0,2.03,clear,BLOCK,perplexity_extreme,,,4.22,"PPL=17.46 (z=+4.13, ≥3σ from natural); complexity ok (mean entropy 0.74, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
2IGD,repeat_motif,-1,61,1.02,-1.18,False,0.529,0.2,0.085,0.831,2.03,clear,BLOCK,low_complexity_extreme,,,4.24,"PPL=1.02 (z=-1.18, within natural range); repetitiveness=0.83 (entropy-lc-frac=0.20, distinct-3mer=0.08); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
3ICB,native,-1,75,3.63,-0.34,False,0.788,0.0,0.932,0.0,3.2,clear,PASS,,,,5.43,"PPL=3.63 (z=-0.34, within natural range); complexity ok (mean entropy 0.79, distinct-3mer=0.93, repetitiveness=0.00); commec: no regulated-pathogen homology"
3ICB,mpnn_T=0.1,1,75,5.48,0.26,False,0.734,0.0,0.863,0.0,3.13,clear,PASS,,0.8688,0.1,5.34,"PPL=5.48 (z=+0.26, within natural range); complexity ok (mean entropy 0.73, distinct-3mer=0.86, repetitiveness=0.00); commec: no regulated-pathogen homology"
3ICB,mpnn_T=0.1,2,75,5.16,0.16,False,0.775,0.016,0.863,0.016,3.13,clear,PASS,,0.8844,0.1,5.33,"PPL=5.16 (z=+0.16, within natural range); complexity ok (mean entropy 0.78, distinct-3mer=0.86, repetitiveness=0.02); commec: no regulated-pathogen homology"
3ICB,mpnn_T=0.1,3,75,5.34,0.22,False,0.715,0.078,0.877,0.078,3.13,clear,PASS,,0.8839,0.1,5.3,"PPL=5.34 (z=+0.22, within natural range); complexity ok (mean entropy 0.72, distinct-3mer=0.88, repetitiveness=0.08); commec: no regulated-pathogen homology"
3ICB,mpnn_T=0.1,4,75,4.49,-0.06,False,0.76,0.0,0.904,0.0,3.13,clear,PASS,,0.8398,0.1,5.35,"PPL=4.49 (z=-0.06, within natural range); complexity ok (mean entropy 0.76, distinct-3mer=0.90, repetitiveness=0.00); commec: no regulated-pathogen homology"
3ICB,mpnn_T=1.0,1,75,10.34,1.83,False,0.847,0.0,1.0,0.0,3.12,clear,REVIEW,perplexity_high,1.7449,1.0,5.32,"PPL=10.34 (z=+1.83, p95=12.39); complexity ok (mean entropy 0.85, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
